name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Rio Dwi Putra Perkasa,"Salah satu alternatif kalau nggak mau renang di jwalita. Tempat nya sedang, kolam renang dewasa 1 ukuran 25 meter. Ada kolam renang untuk anak juga. Fasilitas lain seperti tempat pembilasan, kantin, loker juga ada. Bisa sewa atau beli peralatan renang. Tempat lumayan ramai terutama kalau weekend pagi. Tempatnya juga asri ada taman"" kecil disekeliling kolam.",5,01/23/2022 06:59:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Yenny Swandayani,,5,01/09/2022 12:45:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,hasyim rifai,,4,01/02/2022 04:00:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Naqiban Faiq,,4,12/20/2021 00:52:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Kampoeng Terapi,Tempat renang yang bagus..,5,12/12/2021 00:43:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Bangkit Adi Swasono,"Masjid Syeh Musa, tengah kota pinggir sawah, akses jalan mudah jalur propinsi Jawa timur, lengkap dengan infrastruktur, pelayanan dan kegiatan kajian seminggu penuh",5,11/27/2021 07:41:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,noona tyastyus,Tolong utk ph kaporitnya dikurangin !!! Yg biasa gpke kacamata renang mata jdi merah2. Semoga semuaa dari tempat dan petugas makin kesini makin lebih baik lagiiiiyyyyy,3,11/26/2021 05:49:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Tikva,,5,11/11/2021 06:50:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Riz,"Lokasi cukup sulit untuk ditemukan, apalagi tanpa maps, kondisi di dalam kolam renang cukup berdesak""an, kaporit air lumayan tinggi disarankan untuk memakai kacamata renang.",4,11/09/2021 12:51:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Daris Zulfa,Lumayan kolam renang murah deket rumah,5,10/21/2021 22:11:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Wilunda Salsabilla,Rekomended👍,5,10/21/2021 10:44:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Diana Dian,Pemandanganny bagus,5,10/10/2021 14:56:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Imel Aprillia Puspitasari,,1,10/09/2021 04:14:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,yuki fukuyo,"Kolam renang bersih dan tidak mengandung banyak kaporit. Tempat nyaman dan teduh. Menjual beraneka jajanan. Jika anda tidak punya peralatan berenang, maka jangan khawatir karena disana disewakan kacamata renang, papan renang.",5,10/04/2021 02:11:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Cartolo,"Saya lagi renang di tegur.
Katanya kalo pakai baju biasa gak boleh harus baju renang.
Kenapa? Mohon penjelasanya",1,09/25/2021 04:53:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,ratna sumadi,,3,09/12/2021 11:48:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Dika cahya,,2,06/26/2021 08:29:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Desy Mega,,5,06/21/2021 07:18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Nia Nurul,suka,5,06/11/2021 11:32:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Eva Meysa,Bagus,4,06/07/2021 06:59:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,eva sonia gading,,4,06/06/2021 02:36:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,agung andy Putra,,5,05/15/2021 16:02:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,nuning ratnam,,5,05/04/2021 12:17:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Suparni Boy,,3,04/25/2021 10:01:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Nikita Amanda,"Tolong kaporitnya di kurangi atau gak usah pake kaporit. Katanya gak pake kaporit, mana???? Orang jelas itu banyak bgt kaporitnya bikin badan kayak melepuh, di muka rusak",1,04/25/2021 05:46:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Suryadi Yadi,Yg jaga kantin brisik bgt jadi ga nyaman👎,1,04/12/2021 08:03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Abyan Faishal Reza,,5,04/11/2021 09:55:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Sih Wahyudiati,,2,04/09/2021 06:52:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Bagus mahardhika Putra,Tempat bersih tertata dan cukup menarik,4,04/05/2021 01:28:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Yuli Yuli,,5,03/28/2021 11:14:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,om you,,5,03/17/2021 14:38:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,ilham syahputra,,3,03/10/2021 11:04:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Noviyanti Hilmi Hanifa,"Tempatnya bagus, kamar mandinya oke, tp Airnya makin lengket",4,03/07/2021 08:34:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Renaldi Galih P,Kadang bersih kadang kotor,4,02/20/2021 17:47:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Zhultan Afzhar,,4,02/17/2021 04:37:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Salsabil Ruvian S.,,5,02/10/2021 06:01:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,briddd,,5,02/10/2021 05:44:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Dwi pospitasari Sari,Saya sangat suka dengan kolam renang Banyu Biru anak saya senang sekali berenang disana,5,01/31/2021 04:02:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,IRSYADA ASROFI RAMADHAN,tolong kaporit di kurangi . seperti dulu . sekarang banyak sekali kaporitnya,3,01/16/2021 08:47:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,gunawan sudarno,,4,01/04/2021 00:35:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,afif fajar,Lumayan,5,01/03/2021 15:54:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Ririn Ernawati,,1,12/19/2020 12:04:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Satya Wira,Overall untuk harga tiket masuk termasuk murah. Cuma untuk kebersihan kamar ganti tolong di perhatikan lagi.,4,12/16/2020 03:55:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Joko Subekti,"Tiket mahal,anak&dewasa sama,10 ribu per orang....",3,12/13/2020 06:12:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Agus Jonkekey 2,Minggu yg indah,3,12/04/2020 12:50:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Willy Pramudya,,5,12/02/2020 12:42:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Wawan Saputra,Asik,5,11/17/2020 12:37:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Ali Mashari,Tempat ramai.. harga oke.  Layanan oke.. fasilitas cukup untuk harga segitu..,4,11/15/2020 02:52:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Nofie Trisniawati,,4,11/14/2020 09:19:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Ummi zahro',"I like to swim here because the water is clean, and the place is nice",4,11/10/2020 01:12:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Wingit Chenel,"Airnya keruh tidak jernih,saya renang disini badan saya jadi gatal gatal kayak melepuh gitu... Ga cocok sama namanya banyu biru, banyunya aja warna hijau kayak keruh gtu 😑 tolong tingkatkan lagi",1,11/07/2020 15:11:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,wildan shohabi,Tidak jauh dari rumah dan murah,4,10/31/2020 10:46:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Galuh Yudha Mahardika,Lumayan..,4,10/31/2020 02:36:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Lintang Maulana Satria Ansori,"Tempat nyaman, air jernih, kolam, wc, dan kamar mandi bersih, harga tiket pas
Kurang keramahan penjaganya",4,10/29/2020 13:13:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Yuzz 10,,2,10/25/2020 10:39:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,IMRON NOPA SETIYA,Nyaman menghabiskan waktu bersama keluarga,5,10/23/2020 08:55:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,yudy aryanto,,1,10/18/2020 08:05:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,PRB AJI,,5,10/11/2020 17:21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Monica Destiana Prastiwi,,5,10/09/2020 10:45:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Dimas Bagus,,4,10/07/2020 11:11:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Yuhansyah Bahtiyar,Bagus...,5,10/03/2020 06:02:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Istikhomatul M.,,5,09/14/2020 03:21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Rosidah Rfq,"Vibes nya chill banget.. seru kalo sore kesini bareng temen-temen. Wc +KM bersih dan nyaman. Kolam nya cuma dua buat dewasa sm anak"". Cocok banget buat latihan renang.",3,09/11/2020 11:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Dwi Ervanita,Mahaallll tempat g sesuai harganyaa,2,09/08/2020 10:00:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Gadis Soraya,,5,09/02/2020 09:40:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Cinca Satiti,,5,08/30/2020 13:13:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,silvia tri rahayu,,3,08/20/2020 11:11:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Reyda Reydot,,5,06/30/2020 02:55:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Edi Santoso,,5,06/01/2020 15:08:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Afif Setyawan,Apakah musim sekarang ini masih buka kolam renangnya.?,4,05/14/2020 03:44:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Dhurotul Layli,masih baru,5,03/12/2020 03:27:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Risjiwanto,,5,02/29/2020 04:46:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
